run,cell,objective_version,split_sha256,input_sha256,n_val,n_epochs,cfg_features,cfg_splits,cfg_csv,cfg_fold,cfg_seed,cfg_freeze_epochs,cfg_unfrozen_epochs,cfg_n_layers,cfg_hidden_dim,cfg_embed_dim,cfg_cls_n_layers,cfg_cls_hidden_dim,cfg_reg_n_layers,cfg_reg_hidden_dim,cfg_head_norm,cfg_dropout,cfg_head_lr,cfg_head_lr_unfrozen,cfg_trunk_lr,cfg_lr_schedule,cfg_eta_min,cfg_weight_decay,cfg_trunk_weight_decay,cfg_batch_size,cfg_num_workers,cfg_weights,cfg_pprop_norm,cfg_w_cls,cfg_w_pair,cfg_w_std,cfg_huber_delta,cfg_w_vic,cfg_vic_gamma,cfg_w_cov,cfg_subset,cfg_out,cfg_outputs_root,cfg_sweep_id,cfg_wandb_project,cfg_wandb_entity,cfg_wandb_group,cfg_wandb_tags,cfg_no_wandb,cfg_assert_schedule,cfg_save_checkpoint,cfg_epochs,val/n,val/n_positive,val/pearson_balanced,val/spearman_balanced,val/mae_balanced,val/mae_ref_balanced,val/mae_skill_balanced,val/r2_balanced,val/ap_balanced,val/base_rate_balanced,val/pearson_uniform,val/spearman_uniform,val/mae_uniform,val/mae_ref_uniform,val/mae_skill_uniform,val/r2_uniform,val/ap_uniform,val/base_rate_uniform,val/ap_star,val/pearson_star,val/mae_skill_star,val/goal_term_cls,val/goal_term_reg,val/goal_metric,val/group_edge,val/n_group_lt,val/n_group_ge,val/pearson_group_lt,val/spearman_group_lt,val/mae_group_lt,val/pearson_group_ge,val/spearman_group_ge,val/mae_group_ge,val/ef_p3.5_top0.001,val/ef_p3.5_top0.01,val/ef_p4.0_top0.001,val/ef_p4.0_top0.01,val/ef_p5.0_top0.001,val/ef_p5.0_top0.01,val/emb_effective_rank,val/emb_top1_share,val/emb_min_std,val/emb_dim,val/cls,val/huber,val/pair,val/std,val/loss,val/pair_eval_k,val/vic,val/pred_std,val/mse,emb_effective_rank,emb_top1_share,emb_min_std,emb_dim,emb_trace,emb_std_p5,emb_std_p25,emb_std_p50,emb_std_p75,emb_std_p95,emb_std_max,n_dims_below_0.1,n_dims_below_0.5,n_dims_below_gamma,tanimoto_spearman,pred_tanimoto_spearman,scalarness,tanimoto_partial,knn20_jaccard,n_readout,cfg_bottleneck_norm
outputs/rank_v1/A_base/fold0_seed0,A_base,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,0,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.0,0.5,1.0,,outputs/rank_v1/A_base/fold0_seed0,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8434474380366179,0.907780138155997,0.6461126220898852,1.6574867154945245,0.6101853390136449,0.6257062238781171,0.9161538469138271,0.499999988248474,0.8706476396782223,0.8794920971044837,0.31377737059354044,0.7239266817401713,0.566561948180603,0.7521426081766491,0.23950887995715403,0.009698926028719681,0.23950887995715403,0.8570475388574201,0.588373643597124,0.23950887995715403,0.722710591227272,0.9622194711844261,3.5,65653,643,0.8705522064496702,0.8776511168728931,0.3072032567084796,0.4437965584634862,0.33544985668679245,0.9850220034020999,51.552099533437016,34.36806635562468,90.40363636363635,52.996802413272995,50.224242424242426,79.995173453997,2.8326467356373173,0.6331555408000605,0.009844669191609902,32,0.6952837109565735,0.42868471145629883,0.5119115114212036,0.11910078674554825,4.662251261850447,4096,0.4080469012260437,0.7911819815635681,0.18517456803714663,2.8326467356373173,0.6331555408000605,0.009844669191609902,32,3.5502991676330566,0.04095934331417084,0.10819029062986374,0.164656862616539,0.3650340139865875,0.6794541478157043,0.9541568160057068,7,29,29,0.08231790325098584,0.07408659101166057,0.9257062145022277,0.036313888545263594,0.014410685807280233,5000,
outputs/rank_v1/A_base/fold0_seed1,A_base,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,1,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.0,0.5,1.0,,outputs/rank_v1/A_base/fold0_seed1,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8462111201435715,0.905684777432383,0.6263512117328117,1.6574867154945245,0.6221078540916481,0.647680638351106,0.9309943977052417,0.499999988248474,0.869738558581412,0.8790477297166662,0.32080220090190753,0.7239266817401713,0.556858161201125,0.7457078238822072,0.2995477918922633,0.009698926028719681,0.2995477918922633,0.8579748393624917,0.5894830076463866,0.2995477918922633,0.7237289235044392,1.0232767153967024,3.5,65653,643,0.8691744911344743,0.8772127322280677,0.3147579609796429,0.4495088971098771,0.3428685217650719,0.9379444771327659,82.79579622036853,35.301136030438016,220.98666666666665,58.4964705882353,602.6909090909091,84.9948717948718,1.5260624558395024,0.8838901257137319,0.0021624524513711957,32,0.537658154964447,0.40461742877960205,0.5148013830184937,0.1016325131058693,4.576359436037391,4096,0.5234895944595337,0.7997910976409912,0.18998200344736307,1.5260624558395024,0.8838901257137319,0.0021624524513711957,32,3.2847890853881836,0.008272118866443634,0.04979081079363823,0.14082121849060059,0.30618882179260254,0.7263481020927429,1.0027090311050415,12,29,29,0.06533485488360845,0.07037297101516667,0.9909725232293993,-0.03284094736584571,0.011371818930347841,5000,
outputs/rank_v1/A_base/fold0_seed2,A_base,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,2,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.0,0.5,1.0,,outputs/rank_v1/A_base/fold0_seed2,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.846864879895341,0.9090715538580103,0.6393541899158323,1.6574867154945245,0.6142628571686164,0.6366649783530547,0.9221106914338805,0.499999988248474,0.8702946843069244,0.8787620982210076,0.3150759849606952,0.7239266817401713,0.5647681002676719,0.7508799959160121,0.300042123818224,0.009698926028719681,0.300042123818224,0.8585797821011327,0.5895154787181441,0.300042123818224,0.7240476304096384,1.0240897542278624,3.5,65653,643,0.8698498574613253,0.8768436421904868,0.30866125212624707,0.46905965420934687,0.3495706275251513,0.9700471432500042,85.92016588906169,33.90153151821801,231.03151515151515,52.496832579185515,652.9151515151516,79.995173453997,2.385556476188037,0.6956465995281508,0.04425361394015125,32,0.6386385560035706,0.4198516011238098,0.5132220983505249,0.10994485020637512,4.63096011441648,4096,0.5936442613601685,0.7947609424591064,0.1861178672393286,2.385556476188037,0.6956465995281508,0.04425361394015125,32,5.238062381744385,0.05186358466744423,0.12488417327404022,0.23194769024848938,0.4241113066673279,0.8787636756896973,1.0596239566802979,7,27,27,0.08071482091643538,0.07333268528852481,0.9641909185537448,0.0377366814014943,0.0133641356305443,5000,
outputs/rank_v2/A_base/fold0_seed3,A_base,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,3,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.0,0.5,1.0,,outputs/rank_v2/A_base/fold0_seed3,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.843353412227546,0.9073093594955729,0.6485386208314058,1.6574867154945245,0.6087216779665657,0.6219638460016348,0.9149658615929017,0.499999988248474,0.8710630937472307,0.8794132754387646,0.31159154441177156,0.7239266817401713,0.5695813508865712,0.7545928308173058,0.2742978455152165,0.009698926028719681,0.2742978455152165,0.8572082529873883,0.5891515144265684,0.2742978455152165,0.7231798837069784,0.9974777292221949,3.5,65653,643,0.8709022550381017,0.8775513462585152,0.3049262013774491,0.4608878406644818,0.354068279134049,0.9921510564372439,73.42268721428908,34.52357796809356,170.76242424242423,54.99668174962292,552.4666666666667,79.995173453997,2.705861637982542,0.6315557913855108,0.0259522779461593,32,0.7031813263893127,0.43182045221328735,0.5076359510421753,0.11605393141508102,4.63445895685628,4096,0.4375048875808716,0.7881779670715332,0.1833440036317816,2.705861637982542,0.6315557913855108,0.0259522779461593,32,4.0594000816345215,0.0456288643181324,0.10432060062885284,0.18974435329437256,0.3386162221431732,0.7488583326339722,1.139245629310608,7,29,29,0.08086676257878836,0.07126066279189518,0.937380343579887,0.040390802224368506,0.013158422345419252,5000,
outputs/rank_v2/A_base/fold0_seed4,A_base,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,4,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.0,0.5,1.0,,outputs/rank_v2/A_base/fold0_seed4,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8460554520527939,0.9081534799851538,0.6379082941538159,1.6574867154945245,0.6151351994616193,0.6317523881545286,0.9070833097608884,0.499999988248474,0.8708713807241576,0.8800009209936934,0.31155245834153594,0.7239266817401713,0.5696353426390809,0.7536351291562836,0.26421815239141455,0.009698926028719681,0.26421815239141455,0.8584634163884757,0.5923852710503501,0.26421815239141455,0.7254243437194129,0.9896424961108274,3.5,65653,643,0.8704572668895866,0.8781395605346176,0.3050966267015759,0.45030020533875,0.35184166172574194,0.9707199772502362,65.6117630425562,34.05704313068689,165.73999999999998,53.49677224736048,552.4666666666667,74.99547511312218,2.604950165448716,0.6775404726224488,0.03993539284057087,32,0.7130916118621826,0.4214767515659332,0.5088961124420166,0.10766030848026276,4.6312869934663174,4096,0.6386418342590332,0.7954889535903931,0.18405950374288835,2.604950165448716,0.6775404726224488,0.03993539284057087,32,5.606973648071289,0.05635092779994011,0.08970358222723007,0.20585104823112488,0.3752853274345398,0.9792936444282532,1.0200611352920532,9,26,26,0.07727945989024701,0.07156448514643386,0.933537743468728,0.029210381432798218,0.018870053095175435,5000,
outputs/rank_v1/B_w0.3/fold0_seed0,B_w0.3,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,0,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.3,0.5,1.0,,outputs/rank_v1/B_w0.3/fold0_seed0,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8445291312300122,0.9104499636645172,0.6508443236063614,1.6574867154945245,0.6073305942532536,0.6228941072313329,0.9320783330094304,0.499999988248474,0.8705371228182276,0.8794691591506153,0.31336950005127195,0.7239266817401713,0.5671253623391861,0.7525767410487307,0.26383033928052224,0.009698926028719681,0.26383033928052224,0.8575331270241199,0.5872279782962199,0.26383033928052224,0.7223805526601699,0.9862108919406921,3.5,65653,643,0.8704778847788524,0.8775711308966294,0.3066937173487067,0.45462753507141296,0.33309906184396043,0.9949949460411959,68.73613271124935,32.657438618466884,180.8072727272727,48.99704374057315,602.6909090909091,79.995173453997,10.089644182343019,0.21153287543659474,0.059475268110566464,32,0.6308557391166687,0.43362194299697876,0.5102841854095459,0.1257932037115097,4.686696047283709,4096,0.18286541104316711,0.7891002297401428,0.18485022682437485,10.089644182343019,0.21153287543659474,0.059475268110566464,32,5.558730125427246,0.17821480333805084,0.35844284296035767,0.42859452962875366,0.4868565797805786,0.5097836256027222,0.5109499096870422,2,28,28,0.2318538185386345,0.07346768443262586,0.5402084261454579,0.22835272580260843,0.039084528817582745,5000,
outputs/rank_v1/B_w0.3/fold0_seed1,B_w0.3,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,1,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.3,0.5,1.0,,outputs/rank_v1/B_w0.3/fold0_seed1,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8467216399413076,0.9046871481022167,0.6196244554188364,1.6574867154945245,0.6261662614689696,0.6563877872371594,0.9312529684819776,0.499999988248474,0.8690248924658186,0.878382788278867,0.32506830590365654,0.7239266817401713,0.5509651542028275,0.740816476949772,0.3132919054213426,0.009698926028719681,0.3132919054213426,0.8578732662035631,0.5885657078358986,0.3132919054213426,0.7232194870197308,1.0365113924410734,3.5,65653,643,0.8683194903173969,0.8765495620439266,0.31924152206493056,0.4508469330751241,0.34138572764096015,0.9200074028925739,82.79579622036853,34.99011280550024,231.03151515151515,55.99662141779789,652.9151515151516,84.9948717948718,1.4646187696744577,0.8876227806406574,0.010751742587476274,32,0.5032137632369995,0.39593705534935,0.5159942507743835,0.09389597177505493,4.662624391502142,4096,0.3578447699546814,0.8055751919746399,0.1936363348702446,1.4646187696744577,0.8876227806406574,0.010751742587476274,32,1.393006443977356,0.01605847477912903,0.17530542612075806,0.20645974576473236,0.23465342819690704,0.3158150315284729,0.34783607721328735,6,32,32,0.07762478530115549,0.07035421154398792,0.9942267532923965,0.07154509138101506,0.012150108259241385,5000,
outputs/rank_v1/B_w0.3/fold0_seed2,B_w0.3,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,2,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,0.3,0.5,1.0,,outputs/rank_v1/B_w0.3/fold0_seed2,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8486811437889665,0.9094369101979896,0.6370587955910825,1.6574867154945245,0.6156477215559397,0.634462900457228,0.9293118362895907,0.499999988248474,0.8711703072605241,0.8797663927013475,0.3127437406992267,0.7239266817401713,0.5679897583724156,0.7532728943036229,0.2568233078958865,0.009698926028719681,0.2568233078958865,0.8599257255247453,0.5918187399641777,0.2568233078958865,0.7258722327444616,0.982695540640348,3.5,65653,643,0.8708406915743875,0.877865937270695,0.30632827891508235,0.4496208166150232,0.34343824386243943,0.9677893278134361,59.3630237051699,34.83460119303135,145.650303030303,52.496832579185515,401.7939393939394,79.995173453997,5.75165213628054,0.3222433257841632,0.18958986195242633,32,0.6227918863296509,0.42083847522735596,0.5107004642486572,0.12074686586856842,4.687847510610521,4096,0.24411019682884216,0.793362557888031,0.1843301298552508,5.75165213628054,0.3222433257841632,0.18958986195242633,32,3.968921184539795,0.21524938941001892,0.28943657875061035,0.3316535949707031,0.382531076669693,0.48997122049331665,0.49311304092407227,0,32,32,0.1237817617373746,0.07315962002016344,0.6767978494536148,0.10088376017730787,0.025504202395413303,5000,
outputs/rank_v1/C_w1/fold0_seed0,C_w1,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,0,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,1.0,0.5,1.0,,outputs/rank_v1/C_w1/fold0_seed0,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8460185289122412,0.9090048583783502,0.6419813813593159,1.6574867154945245,0.612677811919732,0.632062725878051,0.9328651819737346,0.499999988248474,0.8704218025213307,0.8792408821151668,0.3154949973951219,0.7239266817401713,0.5641892951966674,0.7507645997844677,0.26755125900619814,0.009698926028719681,0.26755125900619814,0.8582201657167859,0.5884335535581997,0.26755125900619814,0.7233268596374929,0.990878118643691,3.5,65653,643,0.8702107921270862,0.8773477955833697,0.30903658330742484,0.4416215350331906,0.32863451970370106,0.9749261950616451,65.6117630425562,33.59050829328023,155.6951515151515,51.496892911010555,552.4666666666667,79.995173453997,21.29479558012272,0.11142697526878394,0.427464206981724,32,0.5290277600288391,0.422827810049057,0.5145666003227234,0.1215578019618988,4.666946655961871,4096,0.06218443438410759,0.7928640246391296,0.1862040798338156,21.29479558012272,0.11142697526878394,0.427464206981724,32,8.054523468017578,0.4417681097984314,0.4962567687034607,0.5046390295028687,0.5152699947357178,0.526883065700531,0.5404319763183594,0,10,10,0.22380105064696687,0.07254881004214822,0.38184914331988085,0.2121760618054348,0.06320639139273794,5000,
outputs/rank_v1/C_w1/fold0_seed1,C_w1,v1-binary3.5-c917327f,3ef97e78a85d445f24cd26732273488fb32e239c183f8d88ddc83de19026a091,b4eb8c7815e2aeedc43f8ce10f4ae218b2859290901c0f17d6dad10eec954c8f,66296,20,data/features/minimol_v1,data/splits/cluster_kfold_v1,data/ampc_subset_331k.csv,0,1,5,15,2,1024,32,0,256,0,256,layer,0.0,0.001,0.001,0.0001,cosine,1e-08,0.01,,1200,16,balanced,zscore,0.4418,7.486,0.7911,1.0513,1.0,0.5,1.0,,outputs/rank_v1/C_w1/fold0_seed1,outputs,,finetune_minimol,ethan_personal,,,True,True,False,20,66296,643,0.8463205447058446,0.907535556840352,0.6175278039564192,1.6574867154945245,0.6274312196992935,0.6545775582567583,0.9312112778330334,0.499999988248474,0.8694886595390691,0.8789521695898742,0.32058085287163307,0.7239266817401713,0.5571639214885374,0.7449121694189207,0.31191286929503254,0.009698926028719681,0.31191286929503254,0.8579046021224568,0.5922975705939155,0.31191286929503254,0.7251010863581862,1.0370139556532187,3.5,65653,643,0.8686237589561419,0.8770580466748388,0.31470677521822926,0.4380234843749813,0.3365447261026859,0.9203488469290462,84.35798105471513,34.99011280550024,241.07636363636362,53.49677224736048,652.9151515151516,84.9948717948718,5.849008241078934,0.2713271053968921,0.06002183925717792,32,0.488923043012619,0.397083580493927,0.5101414918899536,0.08773326128721237,4.7428571247227485,4096,0.24144235253334045,0.8039817810058594,0.19057643789396994,5.849008241078934,0.2713271053968921,0.06002183925717792,32,4.147183418273926,0.2686752378940582,0.31141114234924316,0.3335551619529724,0.3880343735218048,0.48967891931533813,0.5160512924194336,1,31,31,0.1376417351407533,0.07060493231948063,0.5844568924491943,0.11877403867446995,0.02746193129830987,5000,
