timestamp, index, clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.active
2026/08/11 16:12:58.341, 0, 0, 2100, 48, 23.99, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:12:58.374, 1, 0, 2100, 46, 25.33, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:12:58.407, 2, 0, 2100, 33, 16.27, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:13:03.441, 0, 210, 2100, 49, 26.14, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:13:03.474, 1, 210, 2100, 46, 27.04, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:13:03.507, 2, 0, 2100, 33, 22.05, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:13:08.540, 0, 0, 2100, 49, 29.58, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:13:08.573, 1, 0, 2100, 46, 29.67, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:13:08.606, 2, 0, 2100, 33, 20.83, 300.00, 0, 0, 0x0000000000000001
2026/08/11 16:13:13.639, 0, 1800, 2100, 50, 80.69, 300.00, 0, 0, 0x0000000000000000
2026/08/11 16:13:13.661, 1, 1800, 2100, 48, 83.26, 300.00, 0, 0, 0x0000000000000000
2026/08/11 16:13:13.682, 2, 1800, 2100, 35, 64.93, 300.00, 0, 0, 0x0000000000000000
2026/08/11 16:13:18.704, 0, 1875, 2100, 59, 278.75, 300.00, 84, 57, 0x0000000000000004
2026/08/11 16:13:18.706, 1, 1800, 2100, 56, 240.19, 300.00, 85, 56, 0x0000000000000000
2026/08/11 16:13:18.728, 2, 1905, 2100, 45, 258.30, 300.00, 81, 55, 0x0000000000000000
2026/08/11 16:13:23.730, 0, 1890, 2100, 62, 277.84, 300.00, 85, 57, 0x0000000000000004
2026/08/11 16:13:23.732, 1, 1800, 2100, 59, 242.52, 300.00, 85, 56, 0x0000000000000000
2026/08/11 16:13:23.760, 2, 1905, 2100, 49, 255.88, 300.00, 76, 51, 0x0000000000000000
2026/08/11 16:13:28.762, 0, 1890, 2100, 65, 280.30, 300.00, 82, 55, 0x0000000000000004
2026/08/11 16:13:28.765, 1, 1800, 2100, 62, 244.00, 300.00, 83, 55, 0x0000000000000000
2026/08/11 16:13:28.787, 2, 1920, 2100, 52, 256.63, 300.00, 82, 56, 0x0000000000000000
2026/08/11 16:13:33.789, 0, 1890, 2100, 68, 272.74, 300.00, 79, 54, 0x0000000000000004
2026/08/11 16:13:33.791, 1, 1800, 2100, 64, 241.51, 300.00, 75, 50, 0x0000000000000000
2026/08/11 16:13:33.817, 2, 1920, 2100, 55, 252.61, 300.00, 63, 43, 0x0000000000000000
2026/08/11 16:13:38.819, 0, 1860, 2100, 71, 275.66, 300.00, 82, 54, 0x0000000000000004
2026/08/11 16:13:38.821, 1, 1800, 2100, 67, 255.94, 300.00, 85, 56, 0x0000000000000000
2026/08/11 16:13:38.844, 2, 1905, 2100, 58, 263.48, 300.00, 81, 55, 0x0000000000000004
2026/08/11 16:13:43.845, 0, 1830, 2100, 74, 284.81, 300.00, 84, 56, 0x0000000000000004
2026/08/11 16:13:43.847, 1, 1800, 2100, 70, 272.02, 300.00, 87, 57, 0x0000000000000000
2026/08/11 16:13:43.876, 2, 1905, 2100, 60, 282.39, 300.00, 82, 55, 0x0000000000000000
2026/08/11 16:13:48.877, 0, 1830, 2100, 75, 280.34, 300.00, 82, 55, 0x0000000000000004
2026/08/11 16:13:48.881, 1, 1800, 2100, 73, 259.91, 300.00, 84, 55, 0x0000000000000000
2026/08/11 16:13:48.906, 2, 1905, 2100, 63, 275.23, 300.00, 82, 56, 0x0000000000000004
