run,fold,seed,epoch,phase,warmup,train_s,val_s,total_s,peak_gpu_gb,val_pearson,val_mse,gpu,batch_size,workers,n_train,n_val,run_minutes,slurm_task
fold0_seed0,0,0,1,head_only,True,26.46,6.17,32.6,0.16,0.8036610027170091,0.3014102733306406,NVIDIA RTX A6000,256,4,265184,66296,3.19,0
fold0_seed0,0,0,2,head_only,False,25.51,5.97,31.5,0.16,0.8118110783616418,0.25648373263987295,NVIDIA RTX A6000,256,4,265184,66296,3.19,0
fold0_seed0,0,0,3,full,True,57.47,6.26,63.7,1.52,0.8672518275423624,0.19248837938897928,NVIDIA RTX A6000,256,4,265184,66296,3.19,0
fold0_seed0,0,0,4,full,False,57.76,6.01,63.8,1.52,0.8700187629639969,0.18359399604267992,NVIDIA RTX A6000,256,4,265184,66296,3.19,0
fold0_seed1,0,1,1,head_only,True,26.64,6.2,32.8,0.16,0.7997286168317318,0.27566412997875855,NVIDIA RTX A6000,256,4,265184,66296,3.26,1
fold0_seed1,0,1,2,head_only,False,26.07,6.05,32.1,0.16,0.8203934604747263,0.24914030288202824,NVIDIA RTX A6000,256,4,265184,66296,3.26,1
fold0_seed1,0,1,3,full,True,58.93,6.19,65.1,1.52,0.8641322444183325,0.19242320994898107,NVIDIA RTX A6000,256,4,265184,66296,3.26,1
fold0_seed1,0,1,4,full,False,59.2,6.27,65.5,1.52,0.8680916600190767,0.18719942609723234,NVIDIA RTX A6000,256,4,265184,66296,3.26,1
fold1_seed0,1,0,1,head_only,True,26.46,6.2,32.7,0.16,0.8018467425429351,0.2666327552569852,NVIDIA RTX A6000,256,4,265184,66296,3.26,2
fold1_seed0,1,0,2,head_only,False,25.73,6.12,31.8,0.16,0.8171389030928224,0.2483129227162846,NVIDIA RTX A6000,256,4,265184,66296,3.26,2
fold1_seed0,1,0,3,full,True,59.11,6.3,65.4,1.52,0.863204148057759,0.18922013642058033,NVIDIA RTX A6000,256,4,265184,66296,3.26,2
fold1_seed0,1,0,4,full,False,59.67,6.24,65.9,1.52,0.868572017731113,0.18304131038804328,NVIDIA RTX A6000,256,4,265184,66296,3.26,2
fold1_seed1,1,1,1,head_only,True,26.7,6.29,33.0,0.16,0.8019324354057625,0.2716580063582934,NVIDIA RTX A6000,256,4,265184,66296,3.22,3
fold1_seed1,1,1,2,head_only,False,26.04,5.97,32.0,0.16,0.8183455301594759,0.24721152146331246,NVIDIA RTX A6000,256,4,265184,66296,3.22,3
fold1_seed1,1,1,3,full,True,57.72,6.1,63.8,1.51,0.8639233501161949,0.18982790370060565,NVIDIA RTX A6000,256,4,265184,66296,3.22,3
fold1_seed1,1,1,4,full,False,58.06,6.14,64.2,1.52,0.8688551839081075,0.18340229146570036,NVIDIA RTX A6000,256,4,265184,66296,3.22,3
fold2_seed0,2,0,1,head_only,True,27.0,6.37,33.4,0.16,0.7977106530379694,0.2801032547382821,NVIDIA RTX A6000,256,4,265184,66296,3.31,4
fold2_seed0,2,0,2,head_only,False,26.62,6.18,32.8,0.16,0.8159748530508171,0.2529868590496584,NVIDIA RTX A6000,256,4,265184,66296,3.31,4
fold2_seed0,2,0,3,full,True,60.09,6.29,66.4,1.52,0.8637426835754396,0.1943650754611196,NVIDIA RTX A6000,256,4,265184,66296,3.31,4
fold2_seed0,2,0,4,full,False,60.04,6.23,66.3,1.51,0.8714486517328759,0.17930770299396398,NVIDIA RTX A6000,256,4,265184,66296,3.31,4
fold2_seed1,2,1,1,head_only,True,26.97,6.33,33.3,0.16,0.8016799558775008,0.27009365474327607,NVIDIA RTX A6000,256,4,265184,66296,3.31,5
fold2_seed1,2,1,2,head_only,False,26.39,6.19,32.6,0.16,0.815624417579936,0.25135307634525567,NVIDIA RTX A6000,256,4,265184,66296,3.31,5
fold2_seed1,2,1,3,full,True,60.27,6.3,66.6,1.51,0.8659838958859456,0.19620020880520206,NVIDIA RTX A6000,256,4,265184,66296,3.31,5
fold2_seed1,2,1,4,full,False,59.96,6.31,66.3,1.52,0.8714858061191129,0.18027851321778654,NVIDIA RTX A6000,256,4,265184,66296,3.31,5
