cell,seed,run,w_vic,eff_rank,feat,probe,spearman,pearson,ap,mae
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,2.7999507123423437,emb32,knn,0.872910231446048,0.8691137660325043,0.2231856083772938,0.31277875061394445
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,2.7999507123423437,emb32,ridge,0.8787914854563763,0.8753257111598336,0.24642242174828477,0.3053092055883481
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,pred1,knn,0.834716575953089,0.8250152641316548,0.1226973105517278,0.36568859339160975
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,pred1,ridge,0.8787289560286564,0.8715158014541695,0.24793669946305025,0.30818484783865385
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,trunk512_ft,knn,0.8468381879477362,0.8423605566236965,0.08657968937780011,0.343841991239273
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,trunk512_ft,ridge,0.8561897161752481,0.8484488871958824,0.09645325491279974,0.34035101697359604
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,trunkpca2,knn,0.7386411224828011,0.7555443037190914,0.01900843995434691,0.43011244547624294
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,trunkpca2,ridge,0.754113605958747,0.7339776998428447,0.01458539592656674,0.44725793286836474
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,21.93611679655535,trunkpca32,knn,0.8441261343753881,0.8408748207618215,0.07820025907152917,0.34656943790868566
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,21.93611679655535,trunkpca32,ridge,0.8384071170666587,0.8286489798853188,0.04238544954838282,0.3605338919822387
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,31.570617970987307,trunkpca32_white,knn,0.8236697548548271,0.8126060362127447,0.05223750335806644,0.37038557442196607
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,31.570617970987307,trunkpca32_white,ridge,0.8384081872057507,0.828648809392972,0.04238604815242892,0.3605342873824482
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,trunkpca8,knn,0.8005920405566566,0.7979971008866826,0.028403590046327358,0.3856233671030981
A_base,0,outputs/ckpt_v4/A_base/fold0_seed0,0.0,,trunkpca8,ridge,0.765044583158424,0.745945514762234,0.015196354664280397,0.4360973756091113
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,1.642613078449,emb32,knn,0.8717499805059601,0.8687987852354941,0.22583638920396432,0.31384098589566445
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,1.642613078449,emb32,ridge,0.8782036631920136,0.8747041428468725,0.25990465065912016,0.3061053787347893
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,pred1,knn,0.8344756142771244,0.8241774709322351,0.10997723717853869,0.3654224736387901
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,pred1,ridge,0.8782728682849184,0.8698663776894298,0.2596525575887274,0.31114217441529846
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,trunk512_ft,knn,0.8485286190703534,0.8461003696646794,0.10826314484920171,0.34179001300122525
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,trunk512_ft,ridge,0.8670946144716963,0.8625941545494344,0.22328942267827515,0.32424226111765897
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,trunkpca2,knn,0.7715986159906704,0.7876850852622869,0.02405011255853965,0.40469264589589027
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,trunkpca2,ridge,0.7740700522583621,0.7687159949076869,0.015890148244437623,0.41732974449415683
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,19.078207262283218,trunkpca32,knn,0.849040513992113,0.8473135156608382,0.10532143291074286,0.3417620606288019
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,19.078207262283218,trunkpca32,ridge,0.8615712891761955,0.8551863944136782,0.12275866522938632,0.33473276722173695
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,31.519244836415144,trunkpca32_white,knn,0.8310139766122114,0.8225859138639162,0.08418555596985222,0.36395394039162055
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,31.519244836415144,trunkpca32_white,ridge,0.8615707524641503,0.8551863378872708,0.12276012355621538,0.33473355506060987
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,trunkpca8,knn,0.8291961862678388,0.8296085372326217,0.05208706889397427,0.3594808694450656
A_base,1,outputs/ckpt_v4/A_base/fold0_seed1,0.0,,trunkpca8,ridge,0.8127371071604519,0.8002452946197085,0.022124958174422674,0.39006840903250806
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,1.787754403376724,emb32,knn,0.8696896116447321,0.8675594888465892,0.2576674634218749,0.31606582601310307
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,1.787754403376724,emb32,ridge,0.8779538936985305,0.8746171881158917,0.2618457255395621,0.3071002656253685
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,pred1,knn,0.833663186517706,0.8240102060608179,0.12021579170672815,0.36398309301382126
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,pred1,ridge,0.8775958470210481,0.8712655677380368,0.26419866011138565,0.3102714565788689
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,trunk512_ft,knn,0.8472509626481906,0.8457409582531383,0.1175606824373708,0.3432297555825804
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,trunk512_ft,ridge,0.864275135160423,0.8592843188607786,0.1370064398841894,0.32834193798587386
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,trunkpca2,knn,0.7738116857365486,0.7880983477335404,0.02052396576247969,0.4032370960833277
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,trunkpca2,ridge,0.785091986429954,0.7846703639370797,0.015598049260855416,0.4041221314820522
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,18.24539611482901,trunkpca32,knn,0.8478710366314055,0.8469548815428418,0.11385188157111283,0.34235176347422713
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,18.24539611482901,trunkpca32,ridge,0.8610627897665054,0.8542755518736683,0.08375174676231409,0.3326642478276338
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,31.532014724525006,trunkpca32_white,knn,0.8264139738698144,0.8174859705526434,0.07039275510489637,0.367160554012436
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,31.532014724525006,trunkpca32_white,ridge,0.8610630032645246,0.8542755824427299,0.08375457872258507,0.33266478458682563
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,trunkpca8,knn,0.8197749572150068,0.8230408738086951,0.03640618677627405,0.3662850819957564
A_base,2,outputs/ckpt_v4/A_base/fold0_seed2,0.0,,trunkpca8,ridge,0.7986240726076286,0.7912598609926791,0.01642308200922122,0.39564346609068035
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,29.977134688158273,emb32,knn,0.8597241366178555,0.8575473048583006,0.1744967790273655,0.3267582187213727
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,29.977134688158273,emb32,ridge,0.8772895533463525,0.873081415763288,0.23477324222456364,0.30759348591215063
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,pred1,knn,0.8308285401632787,0.8217719634467143,0.13803623623027372,0.368428724983607
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,pred1,ridge,0.8778506900088388,0.8697662696715935,0.2320644233051083,0.3098184410227748
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,trunk512_ft,knn,0.8405341295359874,0.83603259746857,0.07698916563003581,0.3495247054512094
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,trunk512_ft,ridge,0.8448929702351592,0.8374390071384569,0.10141377340347574,0.3542451591485525
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,trunkpca2,knn,0.6661620738589658,0.6660329905134235,0.016942733960446342,0.4941065061212231
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,trunkpca2,ridge,0.6900434288357105,0.6588974862112833,0.015114650814443688,0.5062824562095766
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,22.810504842891817,trunkpca32,knn,0.8369700238900626,0.8335944117274044,0.07551413879555541,0.35240829506565274
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,22.810504842891817,trunkpca32,ridge,0.8000081218558903,0.7873841526899716,0.033553504750791746,0.4047718767024007
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,31.531271238571268,trunkpca32_white,knn,0.8222734757439767,0.8118064345810639,0.056726919070106976,0.370987522206491
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,31.531271238571268,trunkpca32_white,ridge,0.8000078775598711,0.7873837524824759,0.03355508318370597,0.404773179264169
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,trunkpca8,knn,0.7878038208783665,0.7847680003982667,0.027982334054594125,0.3953540372664327
D_w3,0,outputs/ckpt_v4/D_w3/fold0_seed0,3.0,,trunkpca8,ridge,0.7360851867112163,0.7029131166280471,0.015714714692899198,0.4737047911631619
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,26.05098658282343,emb32,knn,0.8631504629350708,0.8624866494262529,0.20157130675649554,0.3226296168160476
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,26.05098658282343,emb32,ridge,0.8778588550842186,0.8747910578467966,0.2596703757872606,0.3066224785192032
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,pred1,knn,0.8367627446882745,0.8288095752016127,0.14275291963418235,0.36180411293541415
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,pred1,ridge,0.8786564341286054,0.8712712061981827,0.26070347520549303,0.30983696694519075
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,trunk512_ft,knn,0.8479219616800352,0.8452531251895328,0.09793610232540573,0.34141820103416565
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,trunk512_ft,ridge,0.8634192048456333,0.8589523846952494,0.18193247906629667,0.3283754504285784
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,trunkpca2,knn,0.7491169879901067,0.7647905665076402,0.01581077684260783,0.42181730658303707
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,trunkpca2,ridge,0.760720269772077,0.74152866909501,0.0170249080337726,0.43731321160883585
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,17.907182442470955,trunkpca32,knn,0.8489366598581327,0.8470984410646425,0.09461211808875736,0.34043324836634414
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,17.907182442470955,trunkpca32,ridge,0.8579079655711197,0.8508443537220876,0.11174978579334266,0.33757617865714856
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,31.374739744045442,trunkpca32_white,knn,0.8343166823130105,0.8263305234718304,0.08271454182309101,0.3597784205530389
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,31.374739744045442,trunkpca32_white,ridge,0.8579087703601879,0.8508442148275981,0.1117529441361581,0.33757744816330715
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,trunkpca8,knn,0.8213281456630931,0.8238409269113698,0.043819521591946256,0.36391027770630185
D_w3,1,outputs/ckpt_v4/D_w3/fold0_seed1,3.0,,trunkpca8,ridge,0.7716484893639524,0.764891086188908,0.015271377584867775,0.42099852659274656
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,30.01213581413391,emb32,knn,0.8616820744768204,0.8597512359201411,0.2213595768673033,0.3256840681695128
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,30.01213581413391,emb32,ridge,0.8774292272008716,0.8732711993272511,0.25874431364505507,0.3076276479250827
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,,pred1,knn,0.8334918208771793,0.8242120614565006,0.12469120474067535,0.3654038064995358
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,,pred1,ridge,0.8782361639787591,0.8701043597178009,0.259332929768544,0.31023175787022783
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,,trunk512_ft,knn,0.8388217076217185,0.8351815288420126,0.07999282481560112,0.35062080364348003
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,,trunk512_ft,ridge,0.8469457076830904,0.8392444966022077,0.09376694477997047,0.3510754384570067
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,,trunkpca2,knn,0.6369244841313543,0.638967851818349,0.01697695846695104,0.510278811561585
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,,trunkpca2,ridge,0.6616577326631752,0.6318417087063513,0.013704632267794552,0.5241055221789939
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,23.181857532475295,trunkpca32,knn,0.8346713959403371,0.8311232599976042,0.057261499174014116,0.3555890504164063
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,23.181857532475295,trunkpca32,ridge,0.8042389591017552,0.7939292835480822,0.03187324528940037,0.3977815910837398
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,31.56714715169609,trunkpca32_white,knn,0.818098960899521,0.8093360945177089,0.04696996009431491,0.3756090546187447
D_w3,2,outputs/ckpt_v4/D_w3/fold0_seed2,3.0,31.56714715169609,trunkpca32_white,ridge,0.8042373359036183,0.7939289018009588,0.03187395775931934,0.3977832274706441
