cell,seed,direction,run,w_vic,scaling,calib_rho,novelty_rho,predext_rho,embnn_rho,coverage95,mean_std,gp_spearman,kernel,hits_random,hits_greedy,hits_ucb,hits_maxvar,n_pool_positives
A_base,0,0,outputs/rank_v1/A_base/fold0_seed0,0.0,raw,-0.022896138387845533,0.1950505423992582,0.34743531858608956,0.6688537631701504,0.9544,0.4499554463669521,0.8781602789924988,"2.48**2 * Matern(length_scale=13, nu=2.5) + WhiteKernel(noise_level=0.263)",5,36,36,22,48
A_base,0,1,outputs/rank_v1/A_base/fold0_seed0,0.0,raw,-0.0029612778464511136,0.18545818756854854,0.43626686503467454,0.7438426916097076,0.933,0.4065142315125272,0.8779212559895387,"3.56**2 * Matern(length_scale=12, nu=2.5) + WhiteKernel(noise_level=0.226)",5,32,31,22,54
A_base,1,0,outputs/rank_v1/A_base/fold0_seed1,0.0,raw,0.027623278704931142,0.08523520850431769,0.2645825107016504,0.5490424572256982,0.9516,0.4429625053410016,0.8792329331831744,"2.97**2 * Matern(length_scale=12.6, nu=2.5) + WhiteKernel(noise_level=0.256)",5,38,38,28,48
A_base,1,1,outputs/rank_v1/A_base/fold0_seed1,0.0,raw,0.03315252929410117,0.08132708453675697,0.3233034409874155,0.6460163409766535,0.9358,0.4044965184880803,0.8785523343519546,"3.16**2 * Matern(length_scale=6.98, nu=2.5) + WhiteKernel(noise_level=0.224)",5,36,36,26,54
A_base,2,0,outputs/rank_v1/A_base/fold0_seed2,0.0,raw,0.03333596926943877,0.0616776028410254,0.15495259287754143,0.5328034880641395,0.952,0.4467797694922372,0.8762580743751095,"2.57**2 * Matern(length_scale=13, nu=2.5) + WhiteKernel(noise_level=0.259)",5,34,34,28,48
A_base,2,1,outputs/rank_v1/A_base/fold0_seed2,0.0,raw,0.06217967106318684,0.02133879008855558,0.19365942770302494,0.6369735900869435,0.9334,0.4040177449104406,0.8753448251404085,"2.64**2 * Matern(length_scale=5.45, nu=2.5) + WhiteKernel(noise_level=0.22)",5,39,39,23,54
C_w1,0,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,raw,0.029245195505807817,0.16827672556761178,0.07909644220385767,0.5163171868926874,0.9486,0.45027465896244623,0.8706510369216716,"1.76**2 * Matern(length_scale=12.1, nu=2.5) + WhiteKernel(noise_level=0.249)",5,33,33,13,48
C_w1,0,1,outputs/rank_v1/C_w1/fold0_seed0,1.0,raw,0.02587437482697499,0.12353614336093202,0.12387931719814578,0.34768075323523007,0.9406,0.4180242478835419,0.8712475551133843,"4.64**2 * Matern(length_scale=30.8, nu=2.5) + WhiteKernel(noise_level=0.233)",5,34,34,15,54
C_w1,1,0,outputs/rank_v1/C_w1/fold0_seed1,1.0,raw,0.05672706428508256,0.07417637729057559,-0.17080535330441274,0.5139745127189804,0.9536,0.4515063280335735,0.8749573176706912,"3.22**2 * Matern(length_scale=16.1, nu=2.5) + WhiteKernel(noise_level=0.263)",5,39,39,14,48
C_w1,1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,raw,0.0414323426172937,-0.0347686096143367,-0.09191486556459462,0.5495170241246808,0.9382,0.4137011066307021,0.8768122629186512,"1.84**2 * Matern(length_scale=7, nu=2.5) + WhiteKernel(noise_level=0.23)",5,37,37,20,54
